Cassini Tour of Events Summary,,,,,,,
Periapse Parameters,,,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,,,
"Latitude = planetocentric latitude, the phase is the angle formed at the planet center",,,,,,,
" by the solar and spacecraft vectors and Rs = 60,268 km",,,,,,,
Seq,Rev,Epoch (SCET),Date,Latitude (deg),Phase (deg),Period (days),Range (Rs)
S02,0,2004-183T02:38,Jul01,17,94,,1.330
S05,A,2004-302T10:20,Oct28,12,104,124.1,6.170
S06,B,2004-350T05:51,Dec15,4,108,47.9,4.764
S07,C,2005-016T06:25,Jan16,4,106,31.9,4.824
S08,3,2005-048T00:57,Feb17,0,115,31.8,3.498
S09,4,2005-068T11:40,Mar09,0,115,20.5,3.502
S09,5,2005-088T23:38,Mar29,0,114,20.5,3.498
S10,6,2005-104T23:16,Apr14,3,108,16.0,2.594
S10,7,2005-123T01:43,May03,12,115,18.2,3.590
S11,8,2005-141T06:02,May21,12,114,18.2,3.591
S11,9,2005-159T10:36,Jun08,12,114,18.2,3.591
S12,10,2005-177T15:42,Jun26,12,113,18.2,3.603
S12,11,2005-195T22:10,Jul14,13,113,18.3,3.609
S13,12,2005-214T05:48,Aug02,13,112,18.3,3.604
S13,13,2005-232T11:15,Aug20,13,112,18.2,3.585
S14,14,2005-248T11:52,Sep05,8,105,16.0,2.748
S14,15,2005-266T21:36,Sep23,0,107,18.4,2.999
S15,16,2005-285T01:31,Oct12,0,106,18.2,3.002
S15,17,2005-302T22:56,Oct29,0,92,17.9,4.596
S16,18,2005-331T11:21,Nov27,0,92,28.5,4.576
S17,19,2005-358T21:23,Dec24,0,91,27.4,4.572
S17,20,2006-017T06:58,Jan17,0,73,23.4,5.580
S18,21,2006-056T10:56,Feb25,0,72,39.2,5.577
S19,22,2006-079T20:05,Mar20,0,46,23.3,5.477
S20,23,2006-118T23:59,Apr28,0,44,39.2,5.470
S20,24,2006-142T09:01,May22,0,21,23.3,5.452
S21,25,2006-181T13:05,Jun30,0,20,39.2,5.437
S22,26,2006-204T21:48,Jul23,-1,8,23.3,4.192
S22,27,2006-228T20:53,Aug16,-1,8,24.0,4.180
S23,28,2006-252T17:42,Sep09,-1,7,23.9,2.957
S24,29,2006-268T19:42,Sep25,-2,7,16.0,3.983
S24,30,2006-284T22:59,Oct11,-2,14,15.9,5.507
S25,31,2006-301T00:10,Oct28,-2,16,15.9,4.656
S25,32,2006-313T00:00,Nov09,-2,16,12.0,4.662
S25,33,2006-324T23:02,Nov20,-2,16,12.0,4.654
S26,34,2006-336T21:39,Dec02,-2,15,11.9,4.655
S26,35,2006-349T00:01,Dec15,-3,23,12.0,7.606
S26,36,2006-365T05:18,Dec31,-4,31,15.9,9.811
S27,37,2007-016T12:59,Jan16,-5,39,15.9,12.527
S27,38,2007-032T09:57,Feb01,-5,58,16.0,15.572
S28,39,2007-050T11:50,Feb19,-5,59,18.1,15.577
S28,40,2007-066T07:09,Mar07,-5,83,16.0,12.145
S28,41,2007-082T11:57,Mar23,-4,92,15.9,9.710
S29,42,2007-098T16:21,Apr08,-3,100,15.9,7.565
S29,43,2007-114T20:02,Apr24,-3,107,15.9,5.738
S30,44,2007-130T22:46,May10,-2,114,15.9,4.285
S30,45,2007-147T00:28,May27,-1,119,15.9,3.236
S31,46,2007-163T00:45,Jun12,-9,123,16.0,2.745
S31,47,2007-179T00:54,Jun28,-1,126,16.0,2.462
S32,48,2007-201T20:31,Jul20,0,130,22.8,5.357
S33,49,2007-241T13:03,Aug29,0,132,39.7,5.351
S34,50,2007-273T11:29,Sep30,5,138,32.0,4.701
S34,51,2007-297T07:56,Oct24,-3,145,23.8,3.807
S35,52,2007-321T07:52,Nov17,-3,145,24.0,3.801
S35,53,2007-337T07:40,Dec03,-6,155,16.0,2.535
S36,54,2007-353T05:04,Dec19,-1,150,16.0,3.023
S36,55,2008-004T00:48,Jan04,-2,143,15.9,3.970
S36,56,2008-015T22:37,Jan15,-2,149,12.0,3.257
S37,57,2008-027T20:47,Jan27,-2,149,11.9,3.257
S37,58,2008-039T19:24,Feb08,-2,149,11.9,3.273
S38,59,2008-051T19:23,Feb20,-2,150,12.0,3.269
S38,60,2008-062T05:04,Mar02,-2,149,10.6,3.747
S38,61,2008-072T20:57,Mar12,-2,149,10.7,3.751
S39,62,2008-083T12:11,Mar23,-2,149,10.6,3.747
S39,63,2008-092T20:17,Apr01,-2,149,9.6,4.305
S39,64,2008-102T10:13,Apr11,-2,150,9.6,4.307
S40,65,2008-111T23:39,Apr20,-2,150,9.6,4.301
S40,66,2008-121T12:51,Apr30,-2,150,9.6,4.294
S40,67,2008-131T02:12,May10,-2,150,9.6,4.292
S40,68,2008-138T23:55,May17,-1,156,8.0,3.210
S40,69,2008-146T23:07,May25,-1,156,8.0,3.211
S41,70,2008-153T22:52,Jun01,-1,158,7.1,2.710
S41,71,2008-161T02:09,Jun09,-1,158,7.1,2.710
S41,72,2008-168T05:15,Jun16,-1,158,7.1,2.694
S41,73,2008-175T08:20,Jun23,-1,158,7.1,2.692
S41,74,2008-182T09:09,Jun30,-1,158,7.0,2.689
S42,75,2008-189T09:58,Jul07,-1,158,7.0,2.688
S42,76,2008-196T10:46,Jul14,-1,158,7.0,2.689
S42,77,2008-203T11:40,Jul21,-1,158,7.0,2.692
S42,78,2008-210T12:37,Jul28,-1,158,7.0,2.692
S42,79,2008-217T12:32,Aug04,-9,158,7.4,3.942
S43,80,2008-224T21:45,Aug11,-9,158,7.4,3.941
S43,81,2008-232T06:25,Aug19,-9,158,7.4,3.915
S43,82,2008-239T15:12,Aug26,-9,157,7.4,3.954
S43,83,2008-247T00:07,Sep03,-9,157,7.4,3.946
S43,84,2008-254T08:59,Sep10,-9,157,7.4,3.944
S44,85,2008-261T17:48,Sep17,-8,157,7.4,3.943
S44,86,2008-269T02:37,Sep25,-8,157,7.4,3.944
S44,87,2008-276T11:27,Oct02,-8,157,7.4,3.946
S44,88,2008-283T19:43,Oct09,-8,157,7.3,3.946
S44,89,2008-291T03:37,Oct17,-8,156,7.3,3.938
S45,90,2008-298T10:40,Oct24,-8,156,7.3,3.947
S45,91,2008-305T17:50,Oct31,-8,156,7.3,3.948
S45,92,2008-313T22:32,Nov08,-1,154,7.9,4.263
S45,93,2008-321T22:24,Nov16,-1,154,8.0,4.269
S45,94,2008-329T09:54,Nov24,-1,155,8.0,5.211
S46,95,2008-337T09:09,Dec02,-1,155,8.0,5.211
S46,96,2008-344T18:09,Dec09,-2,155,8.0,5.761
S46,97,2008-352T17:27,Dec17,-2,155,8.0,5.767
S46,98,2008-361T05:14,Dec26,2,154,9.5,9.096
S46,99,2009-004T19:05,Jan04,2,154,9.6,9.100
S47,100,2009-014T08:49,Jan14,2,153,9.6,9.099
S47,101,2009-023T22:33,Jan23,2,153,9.6,9.100
S47,102,2009-033T11:41,Feb02,2,153,9.5,9.095
S47,103,2009-045T01:41,Feb14,-1,154,11.9,13.573
S48,104,2009-057T00:15,Feb26,-1,154,11.9,13.584
S48,105,2009-068T23:09,Mar09,-1,153,12.0,13.586
S48,106,2009-080T22:35,Mar21,-1,153,12.0,13.574
S49,107,2009-087T05:27,Mar28,21,28,16.5,19.668
S49,108,2009-098T23:41,Apr08,-5,76,16.8,18.689
S49,109,2009-114T02:20,Apr24,-5,84,16.0,16.943
S50,110,2009-129T14:40,May09,-5,84,16.0,15.074
S50,111,2009-145T01:26,May25,-5,80,15.9,12.168
S50,112,2009-160T14:49,Jun09,-4,75,15.9,9.525
S51,113,2009-176T05:45,Jun25,-3,71,16.0,7.213
S51,114,2009-191T22:10,Jul10,-2,67,15.9,5.309
S52,115,2009-207T16:04,Jul26,-1,65,15.9,3.866
S52,116,2009-223T11:37,Aug11,-1,63,15.9,2.933
S53,117,2009-239T10:32,Aug27,-8,76,16.0,4.277
S53,118,2009-263T09:51,Sep20,-8,77,24.0,4.270
S54,119,2009-287T05:10,Oct14,0,70,23.8,3.195
S54,120,2009-306T04:39,Nov02,0,70,19.0,3.201
S55,121,2009-325T05:15,Nov21,0,70,19.0,3.203
S55,122,2009-344T06:04,Dec10,0,71,19.0,3.196
S56,123,2009-360T05:41,Dec26,2,76,16.0,2.590
S56,124,2010-011T03:23,Jan11,11,76,16.0,3.000
S57,125,2010-027T04:07,Jan27,3,77,16.0,2.572
S57,126,2010-044T16:55,Feb13,0,74,17.5,2.908
S58,127,2010-062T06:02,Mar03,0,75,17.5,2.915
S58,128,2010-079T21:17,Mar20,0,75,17.6,2.913
S59,129,2010-097T12:53,Apr07,0,80,17.6,3.525
S59,130,2010-117T21:41,Apr27,0,81,20.4,3.529
S60,131,2010-138T08:32,May18,0,81,20.5,3.518
S60,132,2010-154T07:43,Jun03,-6,89,16.0,2.739
S60,133,2010-170T07:03,Jun19,1,89,16.0,2.623
S61,134,2010-186T05:02,Jul05,10,88,16.0,2.967
S61,135,2010-206T03:14,Jul25,3,83,19.9,3.438
S62,136,2010-226T01:04,Aug14,3,83,19.9,3.457
S62,137,2010-246T01:39,Sep03,3,84,20.0,3.462
S63,138,2010-265T23:59,Sep22,3,84,19.9,3.455
S64,139,2010-289T17:57,Oct16,2,80,23.8,4.100
S64,140,2010-313T18:17,Nov09,2,80,24.0,4.099
S65,141,2010-334T09:33,Nov30,0,86,20.6,3.567
S65,142,2010-354T22:49,Dec20,0,86,20.6,3.578
S65,143,2011-010T16:14,Jan10,0,86,20.7,3.578
S66,144,2011-031T02:50,Jan31,0,87,20.4,3.559
S66,145,2011-051T13:44,Feb20,0,97,20.4,4.712
S67,146,2011-079T11:45,Mar20,0,98,27.9,4.717
S67,147,2011-107T09:46,Apr17,0,98,27.9,4.711
S68,148,2011-130T20:44,May10,0,118,23.4,5.888
S68,149,2011-169T23:46,Jun18,0,119,39.1,5.884
S69,150,2011-191T16:00,Jul10,0,135,21.7,4.039
S69,151,2011-213T08:12,Aug01,0,135,21.7,4.045
S69,152,2011-235T03:58,Aug23,0,136,21.8,4.044
S70,153,2011-256T23:01,Sep13,0,129,21.8,3.231
S70,154,2011-274T16:53,Oct01,0,130,17.7,3.250
S70,155,2011-292T12:24,Oct19,0,130,17.8,3.259
S70,156,2011-310T07:58,Nov06,0,130,17.8,3.260
