RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S02,0,Ascending Ring Crossing,2004-183T00:47,Jul01,2.628
S02,0,Descending Ring Crossing,2004-183T04:34,Jul01,2.632
S05,A,Ascending Ring Crossing,2004-300T16:53,Oct26,19.506
S05,A,Descending Ring Crossing,2004-302T20:01,Oct28,8.082
S06,B,Ascending Ring Crossing,2004-348T14:58,Dec13,18.86
S06,B,Descending Ring Crossing,2004-350T11:03,Dec15,5.75
S07,C,Ascending Ring Crossing,2005-014T17:05,Jan14,18.36
S07,C,Descending Ring Crossing,2005-016T11:58,Jan16,5.905
S08,3,Ascending Ring Crossing,2005-048T00:50,Feb17,3.499
S08,3,Descending Ring Crossing,2005-057T04:25,Feb26,43.975
S09,4,Ascending Ring Crossing,2005-068T10:48,Mar09,3.559
S09,4,Descending Ring Crossing,2005-073T16:46,Mar14,36.913
S09,5,Ascending Ring Crossing,2005-088T22:59,Mar29,3.531
S09,5,Descending Ring Crossing,2005-090T22:07,Mar31,21.276
S10,6,Ascending Ring Crossing,2005-104T22:16,Apr14,2.734
S10,6,Descending Ring Crossing,2005-106T19:58,Apr16,20.89
S10,7,Ascending Ring Crossing,2005-122T23:36,May02,3.895
S10,7,Descending Ring Crossing,2005-125T02:07,May05,21.422
S11,8,Ascending Ring Crossing,2005-141T03:54,May21,3.903
S11,8,Descending Ring Crossing,2005-143T05:45,May23,21.229
S11,9,Ascending Ring Crossing,2005-159T08:26,Jun08,3.914
S11,9,Descending Ring Crossing,2005-161T09:08,Jun10,20.903
S12,10,Ascending Ring Crossing,2005-177T13:29,Jun26,3.934
S12,10,Descending Ring Crossing,2005-179T13:44,Jun28,20.762
S12,11,Ascending Ring Crossing,2005-195T19:56,Jul14,3.947
S12,11,Descending Ring Crossing,2005-197T19:43,Jul16,20.63
S13,12,Ascending Ring Crossing,2005-214T03:33,Aug02,3.948
S13,12,Descending Ring Crossing,2005-216T02:39,Aug04,20.428
S13,13,Ascending Ring Crossing,2005-232T09:00,Aug20,3.93
S13,13,Descending Ring Crossing,2005-234T07:31,Aug22,20.27
S14,14,Ascending Ring Crossing,2005-248T10:39,Sep05,2.928
S14,14,Descending Ring Crossing,2005-250T06:46,Sep07,20.226
S14,15,Ascending Ring Crossing,2005-266T17:11,Sep23,4.514
S14,15,Descending Ring Crossing,2005-267T07:27,Sep24,7.445
S15,16,Ascending Ring Crossing,2005-284T20:38,Oct11,4.766
S15,16,Descending Ring Crossing,2005-285T09:57,Oct12,6.687
S15,17,Ascending Ring Crossing,2005-302T21:25,Oct29,4.699
S15,17,Descending Ring Crossing,2005-309T17:18,Nov05,44.355
S16,18,Ascending Ring Crossing,2005-331T09:18,Nov27,4.761
S16,18,Descending Ring Crossing,2005-336T04:53,Dec02,36.636
S17,19,Ascending Ring Crossing,2005-358T19:19,Dec24,4.76
